,date,lat_bin,lon_bin,Element,Element_value,Element_dis
137359,2015-02-16,5377,747,zinc,43500.0,122.96296580318476
137360,2015-02-16,5377,752,zinc,43500.0,122.74603312585806
137361,2015-02-16,5377,736,zinc,43500.0,123.52423661587063
137362,2015-02-16,5377,738,zinc,43500.0,123.41364268348768
137363,2015-02-16,5378,737,zinc,43500.0,122.87543175682505
137364,2015-02-16,5378,758,zinc,43500.0,121.92004305709017
137365,2015-02-16,5378,741,zinc,43500.0,122.66083796620735
137366,2015-02-16,5378,739,zinc,43500.0,122.76623092178284
137367,2015-02-16,5378,746,zinc,43500.0,122.41407877480799
137368,2015-02-16,5378,743,zinc,43500.0,122.55926272226804
137369,2015-02-16,5378,745,zinc,43500.0,122.46151469799942
137370,2015-02-16,5379,752,zinc,43500.0,121.55333758344794
137371,2015-02-16,5379,758,zinc,43500.0,121.32264202910103
137372,2015-02-16,5379,757,zinc,43500.0,121.35865548346773
137373,2015-02-16,5379,750,zinc,43500.0,121.6380130871126
137374,2015-02-16,5379,748,zinc,43500.0,121.7265638583092
137375,2015-02-16,5380,752,zinc,43500.0,120.95705000671643
137376,2015-02-16,5381,752,zinc,43500.0,120.3608033548842
137377,2015-02-16,5382,752,zinc,43500.0,119.76459823918383
137378,2015-02-16,5383,751,zinc,43500.0,119.21108435538088
137379,2015-02-16,5384,753,zinc,43500.0,118.53045537278115
137380,2015-02-16,5384,754,zinc,43500.0,118.48959002259497
137381,2015-02-16,5384,748,zinc,43500.0,118.74967669071384
137382,2015-02-16,5384,752,zinc,43500.0,118.57231512235579
137383,2015-02-16,5384,755,zinc,43500.0,118.44972010183811
137384,2015-02-16,5384,750,zinc,43500.0,118.65901358167292
137385,2015-02-16,5384,756,zinc,43500.0,118.41084661683058
137386,2015-02-16,5385,742,zinc,43500.0,118.45155080285491
137387,2015-02-16,5385,750,zinc,43500.0,118.06335361162253
137388,2015-02-16,5385,744,zinc,43500.0,118.34856021602423
137389,2015-02-16,5385,751,zinc,43500.0,118.01929756820037
137390,2015-02-16,5385,746,zinc,43500.0,118.24952391539925
137391,2015-02-16,5385,749,zinc,43500.0,118.10840541968479
137392,2015-02-16,5385,748,zinc,43500.0,118.15445185242729
137393,2015-02-16,5386,739,zinc,43500.0,118.02045985362442
137394,2015-02-16,5386,741,zinc,43500.0,117.91103600143082
137395,2015-02-16,5386,737,zinc,43500.0,118.13382930006485
137396,2015-02-16,5391,797,zinc,43500.0,113.48135824908184
137397,2015-02-16,5392,795,zinc,43500.0,112.87674757152011
137398,2015-02-16,5393,794,zinc,43500.0,112.2758134796106
137399,2015-02-16,5393,795,zinc,43500.0,112.27634485063047
137400,2015-02-16,5393,793,zinc,43500.0,112.27634485063047
137401,2015-02-16,5396,515,zinc,43500.0,146.5766246408063
137402,2015-02-16,5399,507,,,
137403,2015-02-16,5401,508,zinc,43500.0,145.91119397827546
137404,2015-02-16,5403,523,zinc,43500.0,141.5430712083261
137405,2015-02-16,5403,525,zinc,43500.0,141.08833428541044
137406,2015-02-16,5403,509,zinc,43500.0,144.7782587294248
137407,2015-02-16,5404,523,zinc,43500.0,141.0853331678357
137408,2015-02-16,5404,531,zinc,43500.0,139.27243825206486
137409,2015-02-16,5404,521,zinc,43500.0,141.54333025633528
137410,2015-02-16,5404,508,zinc,43500.0,144.56514813896368
137411,2015-02-16,5404,510,zinc,43500.0,144.09530066428957
137412,2015-02-16,5404,526,zinc,43500.0,140.40188849898178
137413,2015-02-16,5405,512,zinc,43500.0,143.17805744917825
137414,2015-02-16,5405,521,zinc,43500.0,141.08803632485717
137415,2015-02-16,5405,531,zinc,43500.0,138.81025283342532
137416,2015-02-16,5405,528,,,
137417,2015-02-16,5406,526,zinc,43500.0,139.4855061714017
137418,2015-02-16,5406,514,,,
137419,2015-02-16,5406,523,zinc,43500.0,140.17308622389243
137420,2015-02-16,5406,525,zinc,43500.0,139.7142247822117
137421,2015-02-16,5406,528,zinc,43500.0,139.0295049082702
137422,2015-02-16,5407,521,,,
137423,2015-02-16,5407,526,zinc,43500.0,139.02893839643
137424,2015-02-16,5407,528,zinc,43500.0,138.5715458548549
137425,2015-02-16,5407,527,zinc,43500.0,138.80000247046252
137426,2015-02-16,5407,516,zinc,43500.0,141.34414390830023
137427,2015-02-16,5407,522,,,
137428,2015-02-16,5407,531,,,
137429,2015-02-16,5408,522,zinc,43500.0,139.49673893538935
137430,2015-02-16,5408,519,zinc,43500.0,140.1941001677417
137431,2015-02-16,5408,523,zinc,43500.0,139.26521526188475
137432,2015-02-16,5409,528,,,
137433,2015-02-16,5409,531,,,
137434,2015-02-16,5410,527,,,
137435,2015-02-16,5410,526,zinc,43500.0,137.66585776526873
137436,2015-02-16,5411,523,zinc,43500.0,137.9118027172916
137437,2015-02-16,5411,531,zinc,43500.0,136.0597985533399
137438,2015-02-16,5411,528,,,
137439,2015-02-16,5412,465,zinc,43500.0,151.7500226468155
137440,2015-02-16,5412,525,zinc,43500.0,136.9956913127378
137441,2015-02-16,5413,461,zinc,43500.0,152.3761748277608
137442,2015-02-16,5413,463,zinc,43500.0,151.85804616054287
137443,2015-02-16,5413,522,zinc,43500.0,137.2502863326851
137444,2015-02-16,5413,459,zinc,43500.0,152.89565069123435
137445,2015-02-16,5413,457,zinc,43500.0,153.41646002368765
137446,2015-02-16,5413,523,zinc,43500.0,137.01525259641164
137447,2015-02-16,5414,453,zinc,43500.0,154.0620624098709
137448,2015-02-16,5414,455,zinc,43500.0,153.53739099375994
137449,2015-02-16,5415,445,zinc,43500.0,155.779725030934
137450,2015-02-16,5431,799,,,
137451,2015-02-16,5431,798,,,
137452,2015-02-16,5432,799,,,
137453,2015-02-16,5432,749,zinc,43500.0,90.19669516035762
137454,2015-02-16,5433,749,zinc,43500.0,89.60492013279881
137455,2015-02-16,5433,799,,,
137456,2015-02-16,5433,798,zinc,43500.0,88.27030680881283
137457,2015-02-16,5434,798,,,
137458,2015-02-16,5434,799,,,
137459,2015-02-16,5435,799,,,
137460,2015-02-16,5435,747,zinc,43500.0,88.54452073390136
137461,2015-02-16,5435,798,,,
137462,2015-02-16,5436,798,,,
137463,2015-02-16,5436,797,,,
